Epoch, Train Recon Loss, Test Recon Loss, R Loss train, R Loss test, Rendering Loss train, Rendering Loss test, Train Time, Test Time
237,0.002110,0.076286,0.003362,0.386867,0.002668,0.026058,33.49,28.66
238,0.002039,0.075006,0.002388,0.382864,0.002462,0.027049,33.56,28.38
239,0.002077,0.074808,0.003590,0.368057,0.002542,0.027042,33.44,28.43
240,0.002064,0.077023,0.003022,0.385724,0.002431,0.026868,33.53,28.41
241,0.002001,0.075760,0.002744,0.391762,0.002454,0.026370,33.67,28.40
242,0.001954,0.073991,0.003495,0.374598,0.002507,0.026493,33.53,28.39
243,0.002076,0.073741,0.003693,0.376447,0.002458,0.025977,33.54,28.37
244,0.002076,0.075956,0.003028,0.379376,0.002354,0.027642,33.56,28.64
245,0.002004,0.077040,0.003358,0.382960,0.002458,0.028330,33.58,28.45
246,0.001925,0.077243,0.002691,0.391294,0.002345,0.029284,33.56,28.43
247,0.002002,0.076019,0.002617,0.389731,0.002309,0.028880,33.48,28.45
248,0.001942,0.076872,0.002607,0.382814,0.002336,0.028110,33.54,28.47
249,0.001900,0.077089,0.003310,0.383872,0.002426,0.028754,33.80,28.45
250,0.002077,0.076442,0.004937,0.384036,0.002577,0.028602,33.64,28.40
251,0.002089,0.076727,0.003252,0.382405,0.002384,0.028195,33.62,28.42
252,0.001998,0.077437,0.003001,0.397546,0.002409,0.028662,33.72,28.50
253,0.001928,0.079027,0.002055,0.397821,0.002322,0.030519,33.46,28.27
254,0.001955,0.078896,0.002928,0.400858,0.002455,0.029663,33.79,28.41
255,0.001933,0.079745,0.002372,0.408885,0.002365,0.030790,33.43,28.41
256,0.002023,0.080351,0.003000,0.412002,0.002466,0.030690,33.55,28.35
257,0.002137,0.078163,0.003949,0.400120,0.002505,0.031230,33.52,28.40
258,0.002274,0.065825,0.004272,0.334991,0.002859,0.025330,33.57,28.36
259,0.002193,0.068904,0.003979,0.346316,0.002621,0.028611,33.49,28.41
260,0.002137,0.068396,0.003380,0.329683,0.002625,0.026819,33.47,28.40
261,0.002089,0.069001,0.003029,0.321777,0.002387,0.025088,33.50,28.40
262,0.002007,0.070080,0.002396,0.334141,0.002392,0.026663,33.51,28.35
263,0.002010,0.068997,0.002918,0.335611,0.002513,0.025445,33.57,28.67
264,0.002013,0.069010,0.002664,0.343353,0.002375,0.027961,33.49,28.38
265,0.002008,0.070241,0.003552,0.354430,0.002515,0.028177,33.52,28.39
266,0.001984,0.069952,0.004791,0.352116,0.002572,0.027651,33.51,28.51
267,0.002106,0.069435,0.002771,0.328500,0.002510,0.024708,33.52,28.38
268,0.002064,0.068616,0.003990,0.340429,0.002661,0.026451,33.50,28.38
269,0.002153,0.070503,0.002977,0.346092,0.002510,0.025780,33.57,28.39
270,0.002030,0.070162,0.003989,0.346998,0.002634,0.027212,33.49,28.40
271,0.002122,0.070478,0.003522,0.358343,0.002522,0.026537,33.54,28.35
272,0.002004,0.070899,0.003025,0.361735,0.002589,0.025570,33.60,28.43
273,0.001977,0.072472,0.002941,0.365222,0.002460,0.028039,33.68,28.39
274,0.001981,0.073132,0.002937,0.366149,0.002573,0.025971,34.28,28.45
275,0.002128,0.075148,0.004737,0.377940,0.002559,0.028312,33.57,28.39
276,0.001996,0.074337,0.002356,0.363318,0.002388,0.028065,33.51,28.37
277,0.002048,0.073562,0.003557,0.360140,0.002480,0.028317,33.50,28.36
278,0.001936,0.076330,0.002667,0.375093,0.002316,0.029756,33.54,28.39
279,0.002048,0.076197,0.003671,0.371198,0.002332,0.030660,33.49,28.40
280,0.001999,0.075510,0.004116,0.370819,0.002481,0.030916,33.42,28.37
281,0.002039,0.075585,0.003297,0.372571,0.002280,0.030014,33.57,28.36
282,0.001951,0.075855,0.003093,0.375898,0.002392,0.030625,33.52,28.55
283,0.002018,0.077035,0.003252,0.367264,0.002350,0.029542,33.47,28.42
284,0.002019,0.075767,0.003266,0.362579,0.002509,0.029245,33.45,28.35
285,0.001973,0.074707,0.002708,0.350817,0.002424,0.029122,33.41,28.37
286,0.001934,0.075132,0.002911,0.359201,0.002345,0.028453,33.44,28.36
287,0.001940,0.075489,0.003240,0.369227,0.002486,0.029300,33.46,28.41
288,0.001951,0.076835,0.002684,0.381287,0.002367,0.029757,33.44,28.36
289,0.001964,0.077556,0.002671,0.373159,0.002339,0.027963,33.54,28.35
290,0.001883,0.077748,0.001753,0.390192,0.002330,0.029856,33.62,28.35
291,0.002085,0.078698,0.003695,0.383880,0.002506,0.032062,33.52,28.36
292,0.002143,0.078485,0.003091,0.374314,0.002474,0.031814,33.65,28.51
293,0.002062,0.075878,0.003451,0.377614,0.002527,0.031625,33.46,28.39
294,0.002008,0.078290,0.003190,0.379035,0.002376,0.033484,33.39,28.34
295,0.001940,0.077684,0.003323,0.375637,0.002462,0.031778,33.66,28.35
296,0.001942,0.080403,0.002364,0.393985,0.002355,0.034815,33.50,28.39
297,0.001941,0.078927,0.003333,0.377832,0.002514,0.032610,33.36,28.35
298,0.001977,0.078951,0.003161,0.373247,0.002353,0.034036,33.44,28.35
299,0.002027,0.077547,0.004197,0.375189,0.002451,0.032042,33.54,28.39
300,0.002041,0.078780,0.003472,0.382320,0.002330,0.032500,33.50,28.41
301,0.001882,0.076288,0.002327,0.360131,0.002314,0.030185,33.49,28.42
302,0.001954,0.079040,0.002976,0.384622,0.002298,0.032612,33.64,28.40
303,0.001870,0.079681,0.002668,0.387977,0.002394,0.032528,33.44,28.41
304,0.001909,0.079461,0.002659,0.386680,0.002247,0.033405,33.46,28.33
305,0.001902,0.078721,0.002286,0.372979,0.002239,0.031414,33.43,28.40
306,0.001935,0.078614,0.003245,0.376182,0.002338,0.031240,33.45,28.39
307,0.002041,0.077846,0.003489,0.373952,0.002303,0.031251,33.52,28.35
308,0.001874,0.078726,0.002293,0.384070,0.002269,0.032535,33.63,28.37
309,0.001940,0.075462,0.002375,0.368262,0.002399,0.030115,33.42,28.43
310,0.001950,0.071673,0.003030,0.342212,0.002436,0.028391,33.44,28.39
311,0.001988,0.074976,0.002943,0.363386,0.002372,0.031199,33.50,28.61
312,0.001936,0.077486,0.002283,0.365210,0.002282,0.033459,33.48,28.35
313,0.001918,0.079422,0.002362,0.365766,0.002323,0.032814,33.46,28.37
314,0.001914,0.079469,0.002376,0.377041,0.002217,0.034603,33.40,28.38
315,0.001913,0.077079,0.002679,0.372754,0.002338,0.032911,33.54,28.37
316,0.001981,0.078410,0.002679,0.370328,0.002218,0.034013,33.54,28.32
317,0.001983,0.075978,0.004030,0.364894,0.002386,0.032599,33.57,28.39
318,0.001911,0.076454,0.002026,0.373386,0.002176,0.032994,33.48,28.40
319,0.001900,0.077445,0.002359,0.377041,0.002278,0.033564,33.52,28.40
320,0.001860,0.077408,0.002340,0.380504,0.002235,0.033901,33.41,28.39
321,0.001895,0.077830,0.002850,0.386431,0.002251,0.032968,33.75,28.40
322,0.001816,0.077083,0.002650,0.382482,0.002328,0.032590,33.44,28.45
323,0.001937,0.079060,0.002356,0.392842,0.002226,0.033023,33.42,28.36
324,0.001855,0.078604,0.002342,0.389841,0.002310,0.032035,33.54,28.36
325,0.001832,0.079424,0.002027,0.403123,0.002269,0.031956,33.50,28.36
326,0.001936,0.078312,0.003861,0.395687,0.002469,0.032594,33.63,28.46
327,0.001926,0.079526,0.002363,0.387077,0.002342,0.034099,33.53,28.43
328,0.001939,0.078478,0.002593,0.374525,0.002343,0.031361,33.47,28.39
329,0.001917,0.078850,0.002275,0.382727,0.002331,0.034143,33.48,28.33
330,0.001869,0.076338,0.002905,0.376758,0.002477,0.031272,33.52,28.59
331,0.001994,0.077891,0.003170,0.387373,0.002383,0.032019,33.46,28.42
332,0.001970,0.078845,0.003293,0.406438,0.002404,0.033495,33.47,28.60
333,0.001958,0.078003,0.002992,0.389017,0.002302,0.033257,33.44,28.32
334,0.001871,0.078366,0.001714,0.390654,0.002169,0.033956,33.47,28.37
335,0.001884,0.077776,0.002660,0.385616,0.002318,0.033138,33.64,28.42
336,0.001870,0.078148,0.001723,0.385659,0.002248,0.033491,33.55,28.42
337,0.001878,0.076418,0.002016,0.388359,0.002166,0.031792,33.65,28.41
338,0.001911,0.078117,0.002663,0.385041,0.002229,0.032261,33.59,28.39
339,0.001917,0.076511,0.002666,0.383181,0.002204,0.030115,33.50,28.42
340,0.001927,0.078435,0.002585,0.385839,0.002226,0.031217,33.70,29.20
341,0.001874,0.076965,0.002671,0.387411,0.002305,0.032039,33.51,28.44
342,0.001880,0.079546,0.002911,0.388456,0.002207,0.033279,33.51,28.37
